ID_CUST,ID_SMS,DATE,NUM_TEXT
890,2,2023-10-10,47
539,3,2023-11-03,50
500,1,2023-11-16,16
561,2,2023-11-28,21
818,2,2023-11-29,20
965,1,2023-11-14,49
5,2,2023-10-17,29
550,3,2023-11-14,47
838,1,2023-11-18,47
573,2,2023-11-19,45
537,2,2023-12-24,26
386,2,2023-11-09,43
455,1,2023-12-18,35
428,2,2023-10-18,45
581,2,2023-10-08,37
374,3,2023-12-20,13
997,3,2023-10-26,48
162,2,2023-12-04,50
599,2,2023-10-19,48
914,3,2023-10-29,30
460,2,2023-10-20,36
906,3,2023-12-18,37
719,1,2023-12-13,23
269,3,2023-12-18,39
13,1,2023-10-19,33
870,3,2023-11-20,45
52,2,2023-12-27,39
922,2,2023-12-07,50
957,3,2023-12-30,30
278,1,2023-11-06,7
134,1,2023-11-05,38
446,1,2023-11-09,21
513,3,2023-12-10,36
708,2,2023-12-17,40
58,2,2023-11-23,29
544,3,2023-10-31,24
998,1,2023-10-22,26
812,2,2023-12-30,36
349,1,2023-11-22,43
527,2,2023-10-04,37
903,3,2023-10-09,35
724,3,2023-10-06,47
867,2,2023-10-25,20
550,2,2023-12-22,33
881,2,2023-12-21,46
338,3,2023-10-10,21
525,3,2023-10-06,25
169,3,2023-10-27,27
115,2,2023-12-09,27
17,1,2023-10-11,50
459,3,2023-11-09,45
183,2,2023-11-16,8
977,2,2023-10-15,44
444,2,2023-10-24,20
87,3,2023-11-28,33
180,2,2023-12-16,32
869,1,2023-12-09,30
985,3,2023-12-07,27
560,1,2023-10-30,42
618,3,2023-11-22,42
944,1,2023-11-06,40
765,2,2023-11-20,19
475,1,2023-10-30,23
297,2,2023-11-28,28
29,3,2023-12-05,6
559,3,2023-11-28,24
431,3,2023-12-28,11
713,2,2023-12-26,48
444,3,2023-12-07,11
656,1,2023-11-26,39
323,1,2023-10-02,30
657,2,2023-12-26,38
802,3,2023-11-27,48
971,1,2023-11-29,30
375,3,2023-12-03,24
867,2,2023-10-20,21
865,2,2023-10-14,19
648,1,2023-11-13,17
197,1,2023-12-27,28
720,2,2023-10-22,46
191,2,2023-12-11,4
498,2,2023-11-14,11
240,2,2023-11-04,9
448,3,2023-11-28,34
576,1,2023-12-21,50
423,2,2023-10-14,31
774,3,2023-10-20,48
59,3,2023-11-19,26
916,2,2023-11-29,33
169,1,2023-10-09,40
801,1,2023-12-17,23
1,3,2023-10-14,45
778,1,2023-12-14,40
429,2,2023-10-15,29
906,2,2023-10-11,29
803,1,2023-12-11,32
106,3,2023-11-06,39
790,2,2023-11-23,30
972,1,2023-12-28,44
358,2,2023-10-26,31
924,1,2023-11-05,34
896,2,2023-10-04,46
473,3,2023-12-30,50
362,2,2023-11-13,18
551,3,2023-11-22,26
514,3,2023-10-06,50
77,3,2023-10-07,49
276,1,2023-12-21,41
693,3,2023-10-21,18
389,2,2023-12-03,22
493,2,2023-11-11,11
761,3,2023-10-21,39
667,1,2023-10-15,41
69,3,2023-11-03,37
344,3,2023-11-27,10
991,1,2023-10-05,26
162,3,2023-12-15,18
356,2,2023-12-21,18
545,1,2023-12-10,22
877,1,2023-10-31,18
88,3,2023-12-17,43
189,3,2023-12-01,16
218,1,2023-11-22,8
200,3,2023-10-28,13
655,2,2023-11-24,28
634,2,2023-12-02,24
263,3,2023-12-20,14
204,3,2023-11-25,33
710,1,2023-12-16,25
23,3,2023-11-13,18
901,1,2023-11-12,47
425,3,2023-11-03,22
747,1,2023-10-13,34
153,1,2023-11-10,46
12,3,2023-12-01,28
933,3,2023-11-20,44
42,2,2023-11-07,30
715,2,2023-12-12,19
575,3,2023-10-24,36
925,3,2023-11-25,43
952,1,2023-12-08,46
547,1,2023-10-29,50
555,1,2023-11-03,48
320,3,2023-11-29,30
382,2,2023-11-03,45
263,2,2023-12-30,15
124,2,2023-11-12,9
854,2,2023-11-28,48
232,1,2023-10-03,38
309,2,2023-10-15,9
618,2,2023-10-28,47
947,3,2023-12-03,35
304,2,2023-10-04,44
404,3,2023-11-16,50
882,1,2023-12-13,44
