ID_CUST,ID_SMS,DATE,NUM_TEXT
808,2,2023-12-03,13
429,1,2023-12-12,19
445,2,2023-12-22,31
735,1,2023-10-05,44
664,3,2023-12-14,35
399,2,2023-11-18,24
493,1,2023-11-06,34
708,2,2023-10-08,35
944,1,2023-11-18,21
791,2,2023-12-03,38
642,2,2023-10-25,17
751,2,2023-10-01,38
338,3,2023-12-12,10
528,3,2023-12-05,25
575,2,2023-11-10,13
887,2,2023-11-06,32
167,3,2023-10-02,5
716,3,2023-11-13,24
51,1,2023-10-25,22
190,2,2023-12-12,32
432,3,2023-12-08,45
238,1,2023-12-03,24
486,3,2023-11-05,29
989,3,2023-12-22,15
767,2,2023-10-16,27
359,1,2023-11-22,8
495,3,2023-12-05,12
59,2,2023-12-11,5
74,3,2023-11-04,24
494,2,2023-11-28,23
105,3,2023-12-24,27
464,3,2023-12-10,3
906,3,2023-10-21,34
206,3,2023-10-02,3
633,2,2023-11-20,7
824,2,2023-12-01,8
954,3,2023-11-29,30
309,3,2023-10-23,4
9,1,2023-12-13,49
699,3,2023-12-28,12
569,3,2023-11-28,2
339,1,2023-12-13,23
640,3,2023-12-27,44
351,3,2023-12-03,45
610,1,2023-12-21,19
574,3,2023-11-29,34
473,1,2023-11-18,22
936,2,2023-12-19,19
579,3,2023-11-24,35
284,2,2023-11-05,49
135,3,2023-11-18,48
819,2,2023-10-26,7
860,2,2023-12-26,24
483,1,2023-10-17,22
842,3,2023-10-01,9
786,2,2023-12-16,39
859,3,2023-12-02,22
264,2,2023-11-03,7
13,3,2023-11-16,36
459,1,2023-10-12,39
615,1,2023-10-04,2
347,2,2023-11-26,43
624,1,2023-12-11,18
284,2,2023-10-24,6
233,2,2023-11-09,20
937,2,2023-11-04,42
972,1,2023-11-02,46
822,2,2023-12-09,12
805,2,2023-10-30,20
272,1,2023-12-09,32
824,1,2023-10-20,19
21,1,2023-11-18,7
450,3,2023-12-18,8
258,3,2023-10-04,28
119,2,2023-11-06,40
21,1,2023-12-01,13
548,1,2023-10-24,12
648,2,2023-12-27,16
820,1,2023-10-17,17
548,2,2023-10-16,9
193,3,2023-12-02,14
491,2,2023-12-01,44
88,2,2023-12-12,29
873,1,2023-12-11,18
886,3,2023-10-20,38
845,2,2023-12-19,29
118,1,2023-10-08,50
532,2,2023-12-22,25
356,2,2023-11-22,37
396,1,2023-10-05,31
397,1,2023-11-19,27
963,2,2023-11-18,27
963,1,2023-10-02,45
494,1,2023-12-07,21
459,3,2023-12-05,10
438,3,2023-10-28,12
248,2,2023-12-05,49
404,3,2023-10-21,38
660,1,2023-10-31,18
993,2,2023-10-28,44
141,3,2023-11-19,44
762,1,2023-11-20,35
467,1,2023-11-08,41
792,1,2023-12-09,18
534,1,2023-10-07,13
955,2,2023-11-30,39
660,3,2023-10-13,46
633,1,2023-10-08,37
438,1,2023-10-14,48
923,2,2023-12-11,26
2,3,2023-10-11,45
176,3,2023-12-15,42
304,3,2023-11-19,47
125,2,2023-11-11,44
746,1,2023-11-26,41
546,2,2023-11-29,11
631,3,2023-12-19,22
47,1,2023-10-03,39
628,1,2023-12-03,21
146,2,2023-11-11,33
82,2,2023-12-19,26
693,2,2023-12-06,39
935,2,2023-10-09,44
957,1,2023-10-07,8
119,3,2023-12-28,15
460,1,2023-11-26,26
279,2,2023-12-14,35
419,2,2023-10-31,35
8,3,2023-11-20,27
971,1,2023-11-21,46
720,1,2023-10-26,32
936,3,2023-12-18,23
174,3,2023-10-28,47
171,3,2023-11-05,16
1000,2,2023-11-15,11
523,3,2023-10-30,12
801,3,2023-11-17,31
283,2,2023-11-04,21
981,3,2023-11-23,37
791,1,2023-12-23,7
628,3,2023-12-17,43
989,1,2023-12-21,12
376,1,2023-12-04,19
348,3,2023-11-29,31
720,3,2023-11-21,39
379,1,2023-11-15,45
396,1,2023-11-18,25
797,1,2023-11-20,24
663,3,2023-10-22,10
623,2,2023-11-11,17
108,3,2023-10-17,37
93,3,2023-10-15,41
371,2,2023-11-13,7
101,3,2023-10-10,32
923,1,2023-10-25,14
635,1,2023-10-27,13
698,1,2023-10-08,10
8,3,2023-10-08,38
246,1,2023-10-28,31
68,1,2023-11-22,6
366,2,2023-11-13,48
647,3,2023-12-21,47
726,1,2023-10-14,22
29,1,2023-12-30,10
367,3,2023-11-03,22
267,1,2023-10-03,30
193,2,2023-11-15,16
235,3,2023-12-25,19
923,1,2023-12-27,20
592,2,2023-11-21,40
854,3,2023-11-05,43
916,1,2023-12-13,8
431,1,2023-12-09,35
642,2,2023-12-25,9
720,1,2023-12-04,40
631,2,2023-11-18,15
737,1,2023-11-12,21
249,1,2023-12-18,18
316,3,2023-12-29,45
234,2,2023-12-30,31
238,1,2023-12-25,3
325,1,2023-12-20,7
116,3,2023-11-06,27
553,3,2023-12-03,38
905,3,2023-11-17,21
846,2,2023-12-25,41
639,3,2023-12-23,16
51,3,2023-12-14,5
543,3,2023-12-11,34
387,3,2023-12-29,31
555,3,2023-10-11,47
279,3,2023-10-19,19
802,3,2023-10-11,24
876,3,2023-11-03,7
417,3,2023-11-18,48
134,3,2023-10-26,43
305,2,2023-11-10,31
726,3,2023-10-08,47
90,2,2023-10-04,30
907,1,2023-12-19,44
239,2,2023-11-11,2
930,1,2023-11-05,44
557,3,2023-12-14,28
129,1,2023-12-07,13
344,1,2023-11-20,11
565,2,2023-11-09,46
443,1,2023-10-17,21
228,3,2023-12-15,39
28,1,2023-11-05,48
855,2,2023-12-16,10
94,2,2023-12-09,46
82,3,2023-11-22,5
831,1,2023-12-16,34
828,1,2023-12-12,47
708,3,2023-11-01,14
354,3,2023-11-23,39
780,3,2023-12-14,2
744,2,2023-12-17,48
755,2,2023-11-23,9
441,2,2023-10-16,36
574,3,2023-11-08,13
671,1,2023-12-04,7
153,1,2023-11-14,30
89,3,2023-11-03,49
663,1,2023-10-12,20
272,1,2023-11-11,33
510,1,2023-11-12,11
49,2,2023-12-01,17
690,1,2023-11-24,50
998,1,2023-10-02,33
181,1,2023-10-01,8
7,1,2023-11-18,26
559,1,2023-12-29,23
267,1,2023-12-30,32
994,3,2023-12-29,16
645,2,2023-10-31,37
738,3,2023-12-09,27
452,2,2023-10-21,18
779,2,2023-10-29,33
358,1,2023-12-07,42
653,2,2023-12-26,18
994,3,2023-12-09,5
683,2,2023-11-12,30
502,1,2023-10-31,2
832,2,2023-12-14,4
678,1,2023-10-31,38
899,1,2023-12-08,18
490,2,2023-10-08,4
339,3,2023-10-05,5
891,1,2023-10-23,34
357,3,2023-11-09,4
191,1,2023-12-30,30
736,2,2023-11-17,7
975,3,2023-10-09,49
590,2,2023-11-03,24
207,2,2023-11-05,12
83,2,2023-11-04,10
